ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;24000;24000;899;0;42;0;0;0;42;0;0.03745833333333334;0.0;;162674;162709;4655;184684;162703;162588;163570;3640;822598;163441
2;9;32000;32000;6459;0;32;0;0;0;32;0;0.20184375;0.0;;1164235;1172061;4655;182145;1165493;1164155;1177983;3647;1085638;1166942
3;8;51000;51000;906;0;20;0;0;0;20;0;0.017764705882352943;0.0;;163967;164072;4656;1348660;164000;164019;170433;3674;5284673;165154
4;7;56000;56000;6397;0;18;5;0;0;18;5;0.11423214285714285;0.0;;1153039;2496949;4655;1515006;1257811;1152984;2492144;1150156;4626168;1380013
5;6;59000;59000;9423;0;17;15;-1;0;17;16;0.15971186440677967;0.0;;1698098;4201697;4655;2670375;2349478;1702146;3053469;3647;5386791;2362542
6;5;72000;72000;1543;0;14;3;3;0;14;0;0.021430555555555557;0.0;;278737;1984438;171087;4370947;425042;278683;282976;3301502;8698250;279028
7;4;76000;76000;7098;0;13;16;6;0;13;10;0.09339473684210527;0.0;;1279346;5655776;4670;4822180;2234136;1279294;4499383;68990;7613786;1928257
8;3;84000;84000;16787;1;12;33;15;0;12;18;0.1998452380952381;0.0;;4538273;10312154;4655;7275777;7793709;3195667;6076722;2942021;7273680;4251131
9;2;85000;85000;4762;1;12;11;6;0;12;5;0.05602352941176471;0.0;;858440;6973578;4456532;25165270;2645289;858466;2205264;6680528;10479445;1014880
10;1;89000;89000;6958;10;10;19;14;0;11;5;0.07817977528089888;0.0;;1254058;28615249;4150455;27518984;14912260;1254083;4307457;4204351;12316649;1704201
;;1000000;;;;;102;;;;59;0.9798846316651714;0.0;0.9798846316651714
;;;;;;;0.4215686274509804;;;;;
