ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;14;17000;17000;1367;0;59;0;0;0;59;0;0.08041176470588235;0.002364705882352941
2;13;22000;22000;1591;0;46;3;0;0;46;3;0.07231818181818182;0.0018272727272727273
3;12;23000;23000;742;0;44;0;0;0;44;0;0.03226086956521739;0.0017478260869565217
4;11;26000;26000;2267;0;39;12;1;0;39;11;0.0871923076923077;0.001546153846153846
5;10;35000;35000;4069;0;29;13;0;0;29;13;0.11625714285714285;0.0011485714285714285
6;9;43000;43000;94;0;24;0;0;0;24;0;0.002186046511627907;0.0009348837209302325
7;8;44000;44000;8009;0;23;32;2;0;23;30;0.18202272727272728;0.0009136363636363636
8;7;55000;55000;1657;0;19;5;-2;0;19;7;0.030127272727272728;0.0007309090909090909
9;6;56000;56000;2153;0;18;15;1;0;18;14;0.03844642857142857;0.0007178571428571428
10;5;61000;61000;3197;0;17;17;0;0;17;17;0.05240983606557377;0.000659016393442623
11;4;65000;65000;3452;0;16;13;-1;0;16;14;0.05310769230769231;0.0006184615384615384
12;3;71000;71000;3381;1;14;15;3;0;14;12;0.04761971830985916;0.0005661971830985916
13;2;83000;83000;3162;1;12;17;2;0;12;15;0.038096385542168675;0.00048433734939759034
14;1;83000;83000;4366;1;12;22;0;0;12;22;0.05260240963855422;0.00048433734939759034
;;1000000;;;;;164;;;;158;0.8850587835856367;0.014744166103438226;0.8998029496890749
;;;;;;;0.036585365853658534;;;;;
