ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;16;12000;12000;1093;0;84;0;0;0;84;0;0.09108333333333334;0.0033499999999999997
2;15;24000;24000;648;0;42;0;0;0;42;0;0.027;0.0016749999999999998
3;14;31000;31000;1980;0;33;5;0;0;33;5;0.06387096774193549;0.001296774193548387
4;13;40000;40000;45;0;25;0;0;0;25;0;0.001125;0.0010049999999999998
5;12;42000;42000;498;0;24;0;0;0;24;0;0.011857142857142858;0.0009571428571428571
6;11;46000;46000;3839;0;22;9;0;0;22;9;0.08345652173913043;0.0008739130434782608
7;10;53000;53000;6587;0;19;18;-1;0;19;19;0.12428301886792453;0.0007584905660377359
8;9;56000;56000;280;0;18;0;0;0;18;0;0.005;0.0007178571428571428
9;8;56000;56000;3911;0;18;11;2;0;18;9;0.06983928571428571;0.0007178571428571428
10;7;62000;62000;4063;0;17;11;-1;0;17;12;0.06553225806451612;0.0006483870967741935
11;6;70000;70000;698;0;15;1;0;0;15;1;0.009971428571428572;0.0005742857142857142
12;5;79000;79000;8586;0;13;32;5;0;13;27;0.10868354430379747;0.0005088607594936708
13;4;85000;85000;2194;0;12;7;1;0;12;6;0.025811764705882353;0.0004729411764705882
14;3;85000;85000;8190;0;12;21;-4;0;12;25;0.09635294117647059;0.0004729411764705882
15;2;88000;88000;807;0;12;3;1;0;12;2;0.009170454545454546;0.0004568181818181818
16;1;92000;92000;8453;1;11;30;12;0;11;18;0.0918804347826087;0.0004369565217391304
;;1000000;;;;;148;;;;133;0.8849180964039106;0.014923225572973594;0.8998413219768842
;;;;;;;0.10135135135135136;;;;;
