ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;6;15000;15000;4338;0;67;0;0;0;67;0;0.2892;0.00268
2;5;48000;48000;5356;0;21;4;-1;0;21;5;0.11158333333333334;0.0008374999999999999
3;4;50000;50000;6509;0;20;8;-2;0;20;10;0.13018;0.000804
4;3;53000;53000;13709;0;19;38;14;0;19;24;0.25866037735849057;0.0007584905660377359
5;2;82000;82000;4961;0;13;8;-2;0;13;10;0.0605;0.0004902439024390243
6;1;83000;83000;3628;1;13;13;3;0;13;10;0.04371084337349398;0.00048433734939759034
;;1000000;;;;;71;;;;59;0.8938345540653179;0.00605457181787435;0.8998891258831923
;;;;;;;0.16901408450704225;;;;;
