ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;12;20000;20000;387;0;50;0;0;0;50;0;0.01935;0.0020099999999999996
2;11;22000;22000;653;0;46;0;0;0;46;0;0.02968181818181818;0.0018272727272727273
3;10;31000;31000;2252;0;33;5;-1;0;33;6;0.07264516129032259;0.001296774193548387
4;9;37000;37000;628;0;28;0;0;0;27;0;0.016972972972972972;0.0010864864864864863
5;8;42000;42000;1784;0;24;3;-3;0;24;6;0.04247619047619047;0.0009571428571428571
6;7;46000;46000;4461;0;22;15;-3;0;22;18;0.09697826086956522;0.0008739130434782608
7;6;47000;47000;1171;0;22;3;0;0;21;3;0.02491489361702128;0.0008553191489361703
8;5;54000;54000;19760;0;19;87;26;0;18;61;0.36592592592592593;0.0007444444444444445
9;4;60000;60000;7451;0;16;33;15;0;17;18;0.12418333333333334;0.00067
10;3;65000;65000;1960;0;15;5;3;0;15;2;0.030153846153846153;0.0006184615384615384
11;2;85000;85000;581;1;12;1;1;0;12;0;0.006835294117647059;0.0004729411764705882
12;1;86000;86000;4972;1;12;17;1;0;12;16;0.057813953488372094;0.00046744186046511623
;;1000000;;;;;169;;;;130;0.8879316504270154;0.011880197476706576;0.8998118479037219
;;;;;;;0.23076923076923078;;;;;
