ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;13000;13000;290;0;77;0;0;0;77;0;0.022307692307692306;0.003092307692307692
2;9;15000;15000;42;0;67;0;0;0;67;0;0.0028;0.00268
3;8;18000;18000;3368;0;56;23;10;0;56;13;0.18711111111111112;0.0022333333333333333
4;7;22000;22000;2186;0;46;14;0;0;46;14;0.09936363636363636;0.0018272727272727273
5;6;31000;31000;3191;0;33;22;0;0;33;22;0.10293548387096774;0.001296774193548387
6;5;41000;41000;485;0;25;0;0;0;25;0;0.011829268292682927;0.0009804878048780487
7;4;53000;53000;175;0;19;0;0;0;19;0;0.0033018867924528303;0.0007584905660377359
8;3;65000;65000;3060;0;16;9;0;0;16;9;0.04707692307692308;0.0006184615384615384
9;2;88000;88000;6044;0;12;14;0;0;12;14;0.06868181818181818;0.0004568181818181818
10;1;92000;92000;3686;0;11;19;0;0;11;19;0.04006521739130435;0.0004369565217391304
;;1000000;;;;;101;;;;91;0.5854730373885888;0.014380902559396775;0.5998539399479855
;;;;;;;0.09900990099009901;;;;;
