ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;29000;29000;4542;0;35;0;0;0;35;0;0.15662068965517242;0.001386206896551724
2;9;37000;37000;2147;0;27;3;0;0;27;3;0.05802702702702703;0.0010864864864864863
3;8;41000;41000;1572;0;25;2;0;0;25;2;0.038341463414634146;0.0009804878048780487
4;7;42000;42000;1069;0;24;2;0;0;24;2;0.025452380952380952;0.0009571428571428571
5;6;53000;53000;5372;0;19;14;1;0;19;13;0.10135849056603774;0.0007584905660377359
6;5;55000;55000;5242;0;19;10;0;0;19;10;0.09530909090909091;0.0007309090909090909
7;4;57000;57000;1359;0;18;1;0;0;18;1;0.023842105263157894;0.0007052631578947368
8;3;70000;70000;1758;0;15;4;0;0;15;4;0.025114285714285714;0.0005742857142857142
9;2;90000;90000;9185;0;11;20;0;0;11;20;0.10205555555555555;0.0004466666666666667
10;1;100000;100000;1573;0;10;2;0;0;10;2;0.01573;0.000402
;;1000000;;;;;58;;;;57;0.6418510890573423;0.008027939240853061;0.6498790282981954
;;;;;;;0.017241379310344827;;;;;
